Id,Causa,Materia,Argomento,settore,Gruppo,Argomento ori,,Settore breve,Industria
15,/81,Libera circolazione delle merci,Tassa erariale di sbarco  prodotti petroliferi,industria - petrolio,3,Tassa erariale di sbarco  prodotti petroliferi,,industria,petrolio
14,/79,Libera circolazione delle merci,Diritti sanitari,agricoltura - carni,3,Diritti sanitari  carni bovine,,agricoltura,carni
13,/77,Diritto agrario comunitario,Importi compensativi monetari,agricoltura - ,3,Importi compensativi monetari,,agricoltura,
12,/76,Diritto agrario comunitario,Esportazioni di zucchero verso Paesi terzi,agricoltura - zucchero,3,Esportazioni di zucchero verso Paesi terzi,,agricoltura,zucchero
11,/76,Libera circolazione dei lavoratori,Calciatori professionisti,sport - calcio,3,Calciatori professionisti,,sport,calcio
10,/75,Diritto agrario comunitario / Libera circolazione delle merci,Prezzi dello zucchero,agricoltura - zucchero,3,Prezzi dello zucchero,,agricoltura,zucchero
9,/84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio,,industria,siderurgia
8,/84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio,,industria,siderurgia
7,/84,Trattato C.E.C.A.,Quote acciaio,industria - siderurgia,2,Quote acciaio,,industria,siderurgia
6,/77,Funzione pubblica,Statuto dei funzionari europei, - ,2,Statuto dei funzionari europei,,,
5,/73,Libera circolazione delle merci,Tassa erariale di sbarco,agricoltura - cereali,1,Tassa erariale di sbarco - cereali,,agricoltura,cereali
4,/72,Libera circolazione delle merci,Diritti sanitari,agricoltura - carni,1,Diritti sanitari - carni bovine,,agricoltura,carni
3,/71,Libera circolazione delle merci,Monopoli,agricoltura - latte,1,Monopoli - centrali del latte,,agricoltura,latte
2,/71,Libera circolazione delle merci,Restrizioni quantitative,agricoltura - frutta,1,Restrizioni quantitative - ortofrutta,,agricoltura,frutta
1,/71,Libera circolazione delle merci,Restrizioni quantitative,agricoltura - frutta,1,Restrizioni quantitative - ortofrutta,,agricoltura,frutta
